Country_Code,Year,n_films,worldwide_usd_sum,domestic_usd_sum,domestic_share,Country_Name.x,Indicator.Name,Indicator.Code,gdp_usd,Country_Name.y,Population,Male.Population,Female.Population,Annual.Growth.Rate,Rate.of.Natural.Increase,Population.Density,Natural.Increase,Total.Fertility.Rate,Crude.Birth.Rate,Life.Expectancy.at.Birth..Both.Sexes,Infant.Mortality.Rate..Both.Sexes,Crude.Death.Rate,Net.Migration.Rate,gdp_per_capita,box_per_capita,box_gdp_ratio,log_gdp,log_pop,log_box_sum,log_gdp_pc,box_class
ARE,2009,1,28972508,20919166,0.7220350409429519,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,253547000000,United Arab Emirates,8032709,5982037,2050672,-3.65,0.8300000000000001,96.1,66897,1.5,9.5,77.3,7.5,1.2,-44.8,31564.320330787534,3.6068165795623868,1.1426878645773762e-4,11.404058476287348,6.9048620341134885,7.461986091455595,4.49919644217386,Low
ARE,2010,4,147123299,55384910,0.376452338796454,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,300189000000,United Arab Emirates,8020877,5942500,2078377,3.36,0.8700000000000001,95.9,70030,1.57,9.9,77.4,7.2,1.2,24.9,37425.95728621696,18.342545210455167,4.901022322603426e-4,11.477394774093703,6.9042218564933195,8.167681454684564,4.573172917600384,High
ARE,2011,2,353154979,245366209,0.6947833772435642,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,360833000000,United Arab Emirates,8302211,6130908,2171303,3.53,0.89,99.3,73987,1.59,10.1,77.6,7,1.2,26.4,43462.27769927794,42.537461285915285,9.787214002045267e-4,11.557306249109729,6.919193766740792,8.54796533358586,4.638112482368938,High
ARE,2012,2,269400086,98186043,0.3644618101569574,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,384610000000,United Arab Emirates,8606553,6342579,2263974,3.67,0.92,102.9,79190,1.6400000000000001,10.4,77.8,6.6,1.2,27.5,44688.04177468029,31.301740197265968,7.004500299004187e-4,11.585020571863874,6.934829247525369,8.430397730025867,4.650191324338506,High
ARE,2013,1,57824674,42930462,0.7424246265530179,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,400219000000,United Arab Emirates,8930981,6575221,2355760,3.73,0.93,106.8,82680,1.6600000000000001,10.5,77.9,6.4,1.2,28.1,44812.434378709346,6.4746161703848655,1.444825807870191e-4,11.60229770248931,6.950899165438055,7.762113193013773,4.651398537051255,High
ARE,2014,1,89078609,54240821,0.6089096092643297,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,414105000000,United Arab Emirates,9170474,6720588,2449886,1.59,0.92,109.7,84564,1.6600000000000001,10.5,78.1,6.1,1.2,6.7,45156.33543042595,9.713631923497084,2.151111650426824e-4,11.617110474306532,6.96239178389949,7.949773426723687,4.654718690407041,High
ARE,2017,3,524273643,62049989,0.11835420267350728,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,390517000000,United Arab Emirates,9543192,6815420,2727772,1.07,0.96,114.2,91728,1.6900000000000002,10.9,78.6,5.6,1.3,1.1,40921.004209073864,54.936927078486946,0.0013425117037158434,11.59163994434774,6.979693661509276,8.719558024817697,4.611946282838464,High
ARE,2023,1,9387311,4813132,0.5127274466564493,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,514130000000,United Arab Emirates,9973449,6821526,3151923,0.58,0.91,119.3,91175,1.62,10.8,79.8,5.1,1.6,-3.4,51549.8700599963,0.9412301601983426,1.8258633030556475e-5,11.711072946124041,6.9988453712144505,6.97254120620574,4.71222757490959,Low
ARE,2024,1,15469415,10001000,0.6465014998951156,United Arab Emirates,GDP (current US$),NY.GDP.MKTP.CD,537079000000,United Arab Emirates,10032213,6824131,3208082,0.6,0.9,120,90566,1.61,10.7,79.9,5,1.7,-3.1,53535.44626694031,1.541974338064792,2.8802866989772455e-5,11.730038171622532,7.001396744354128,7.189473890488267,4.728641427268404,Low
ARG,2001,1,8772695,624757,0.07121608582083384,Argentina,GDP (current US$),NY.GDP.MKTP.CD,268697000000,Argentina,37739191,18613561,19125630,1.03,1.1,13.8,413428,2.46,18.6,74.7,17.5,7.6,-0.7,7119.839956293711,0.23245583086293503,3.26490247379018e-5,11.429262817565588,7.576792586130936,6.9431330305189904,3.8524702314346517,Low
