gdp_usd,gdp_per_capita,Population,Life.Expectancy.at.Birth..Both.Sexes,Total.Fertility.Rate,box_gdp_ratio,log_gdp,log_pop,box_class
253547000000,31564.320330787534,8032709,77.3,1.5,1.1426878645773762e-4,11.404058476287348,6.9048620341134885,Low
300189000000,37425.95728621696,8020877,77.4,1.57,4.901022322603426e-4,11.477394774093703,6.9042218564933195,High
360833000000,43462.27769927794,8302211,77.6,1.59,9.787214002045267e-4,11.557306249109729,6.919193766740792,High
384610000000,44688.04177468029,8606553,77.8,1.6400000000000001,7.004500299004187e-4,11.585020571863874,6.934829247525369,High
400219000000,44812.434378709346,8930981,77.9,1.6600000000000001,1.444825807870191e-4,11.60229770248931,6.950899165438055,High
414105000000,45156.33543042595,9170474,78.1,1.6600000000000001,2.151111650426824e-4,11.617110474306532,6.96239178389949,High
390517000000,40921.004209073864,9543192,78.6,1.6900000000000002,0.0013425117037158434,11.59163994434774,6.979693661509276,High
514130000000,51549.8700599963,9973449,79.8,1.62,1.8258633030556475e-5,11.711072946124041,6.9988453712144505,Low
537079000000,53535.44626694031,10032213,79.9,1.61,2.8802866989772455e-5,11.730038171622532,7.001396744354128,Low
268697000000,7119.839956293711,37739191,74.7,2.46,3.26490247379018e-5,11.429262817565588,7.576792586130936,Low
97724004252,2562.783908789191,38131972,74.9,2.46,1.2703007920130267e-4,10.990001253930942,7.581289265451294,Low
164658000000,4227.924080494941,38945354,75.4,2.54,3.501999538437246e-4,11.216582835998137,7.590455655782366,Low
332976000000,8131.928038141833,40946747,75.4,2.38,1.0535188722310316e-4,11.522412931875119,7.612219405093598,Low
526320000000,12217.31840631683,43079830,76.9,2.25,5.9809418224654205e-5,11.721249873389128,7.634273980832824,Low
557532000000,12723.870498378981,43817799,76.3,2.07,9.406508505341398e-5,11.74626979911856,7.641650558844002,Low
385741000000,8588.080405811239,44915858,76.3,1.6800000000000002,1.9772593527781593e-5,11.586295802017274,7.652399700156572,Low
416168000000,22094.613628296276,18835722,79.4,1.76,1.1260868207070222e-4,11.619268683377511,7.274982271983207,Low
379629000000,19900.042947470258,19076793,79.7,1.73,0.0014563256653206157,11.579359380938902,7.280505367251345,High
395789000000,20488.65294130345,19317473,79.7,1.75,8.367114472610406e-4,11.59746371987117,7.285950313904813,High
467739000000,23926.40060974752,19549075,80.1,1.75,1.0152785207134749e-4,11.670003582819884,7.291126212785608,Low
614660000000,31078.576679458405,19777611,80.4,1.76,1.5108180945563402e-4,11.788634951620105,7.296173830629312,Low
695693000000,34758.87455657258,20014831,80.8,1.8,4.421871141437387e-5,11.842417633547864,7.3013519273875485,Low
748418000000,36907.98056706436,20277945,81,1.8800000000000001,7.360400524840397e-4,11.874144224053342,7.307023940780567,High
855007000000,41484.280861323066,20610385,81.1,1.95,2.0368103302078228e-4,11.931969670340955,7.314086104433937,High
1056110000000,50194.7171570392,21040262,80.9,1.99,4.471294865118217e-4,12.023709154850291,7.323051143487681,High
928762000000,43247.74821255815,21475384,81.5,1.94,2.5749041196775924e-5,11.967904438074275,7.331940938165214,Low
1148840000000,52603.61665661533,21839563,81.6,1.92,2.6459177779325233e-4,12.060259548309132,7.339243944079066,High
1398610000000,63048.728168023794,22183001,81.7,1.92,2.4292647771716205e-4,12.14569662910177,7.3460202987823635,High
1547530000000,68586.56575883747,22563165,82,1.94,1.134815247523473e-4,12.18963907688968,7.3534000193195155,High
1577120000000,68730.54407918341,22946421,82.3,1.8900000000000001,3.142974307598661e-4,12.197864739210386,7.360714957360809,High
1468270000000,63037.13660009729,23292143,82.2,1.81,4.581918516349173e-4,12.166805925285797,7.367209447755766,High
1351300000000,57214.21840859962,23618255,82.1,1.82,9.162968038185451e-4,12.130751776765143,7.373247807254367,High
1206840000000,50326.62011483497,23980152,82.4,1.83,3.6456972092406613e-4,12.081649696175957,7.379851931579846,High
1325580000000,54393.52743367211,24370179,82.6,1.74,3.287858439324673e-4,12.122405942940578,7.386858719107858,High
1427810000000,57693.94107953586,24748006,82.6,1.74,2.768477745638425e-4,12.154670419315817,7.393540212639969,High
1392720000000,55455.94970643251,25113987,82.7,1.74,3.555607336722385e-4,12.143863812276136,7.399915665108239,High
1328410000000,52160.56758311879,25467706,82.7,1.74,1.314520441731092e-4,12.123332136219085,7.405989827711568,High
1556740000000,60315.44473138348,25809973,82.9,1.74,1.0886725015095648e-4,12.19221608463351,7.411787550225498,High
1690860000000,64681.38680877807,26141369,83.1,1.73,3.00626223341968e-4,12.228107650327185,7.417328327451773,High
1728060000000,65305.51223630886,26461166,83.3,1.73,8.602569933914332e-5,12.23755881755059,7.422608977274342,High
1752190000000,65456.92082939869,26768598,83.5,1.73,2.24667850518494e-4,12.243581197424277,7.4276256256953985,High
196477000000,24132.65794923319,8141540,78.7,1.32,3.435167984038844e-5,11.29331171828542,6.910706560938829,Low
260780000000,31741.742618991975,8215680,78.9,1.3800000000000001,5.928869161745533e-5,11.416274280991235,6.914643515187483,Low
299210000000,36209.78950737816,8263235,79.4,1.43,3.080831990909395e-4,11.475976104139766,6.917150103930593,High
313952000000,37758.88636108884,8314652,79.6,1.42,5.15933136275609e-5,11.496863254032995,6.919844077050134,Low
